grapheme	normalized	name	datasets	airstream	airstream2	articulation	articulation2	aspiration	aspiration2	breathiness	breathiness2	centrality	centrality2	contour	creakiness	creakiness2	duration	duration2	ejection	ejection2	end	friction	friction2	glottalization	glottalization2	height	height2	labialization	labialization2	laminality	laminality2	manner	manner2	middle	nasalization	nasalization2	palatalization	palatalization2	pharyngealization	pharyngealization2	phonation	phonation2	place	place2	preceding	preceding2	raising	raising2	relative_articulation	relative_articulation2	release	release2	rhotacization	rhotacization2	roundedness	roundedness2	rounding	rounding2	sound_type	start	stress	stress2	syllabicity	syllabicity2	tone	tone2	tongue_root	tongue_root2	velarization	velarization2	voicing	voicing2
!	ǃ	voiceless alveolar click consonant	ruhlen																													click									voiceless		alveolar																consonant													
!ʰ	ǃʰ	aspirated voiceless alveolar click consonant	ruhlen					aspirated																								click									voiceless		alveolar																consonant													
!ʱ	ǃʱ	breathy voiceless alveolar click consonant	ruhlen							breathy																						click									voiceless		alveolar																consonant													
!ˀ	ǃˀ	glottalized voiceless alveolar click consonant	ruhlen																					glottalized								click									voiceless		alveolar																consonant													
!ˀʰ	ǃˀʰ	glottalized aspirated voiceless alveolar click consonant	ruhlen					aspirated																glottalized								click									voiceless		alveolar																consonant													
'z'̰	z̰	creaky voiced alveolar sibilant fricative consonant	lapsyd	sibilant											creaky																	fricative									voiced		alveolar																consonant													
/	ǀ	voiceless dental click consonant	ruhlen																													click									voiceless		dental																consonant													
/ʰ	ǀʰ	aspirated voiceless dental click consonant	ruhlen					aspirated																								click									voiceless		dental																consonant													
/ʱ	ǀʱ	breathy voiceless dental click consonant	ruhlen							breathy																						click									voiceless		dental																consonant													
/ˀ	ǀˀ	glottalized voiceless dental click consonant	ruhlen																					glottalized								click									voiceless		dental																consonant													
/ˀʰ	ǀˀʰ	glottalized aspirated voiceless dental click consonant	ruhlen					aspirated																glottalized								click									voiceless		dental																consonant													
1	¹	short from-low tone	diachronica											short																																													tone	from-low												
1	l̪	voiced dental lateral approximant consonant	jipa	lateral																												approximant									voiced		dental																consonant													
2	²	short from-mid-low tone	diachronica											short																																													tone	from-mid-low												
21	²¹	falling from-mid-low to-low tone	allenbai											falling							to-low																																						tone	from-mid-low												
3	³	short from-mid tone	diachronica											short																																													tone	from-mid												
31	³¹	falling from-mid to-low tone	allenbai											falling							to-low																																						tone	from-mid												
32	³²	falling from-mid to-mid-low tone	allenbai											falling							to-mid-low																																						tone	from-mid												
33	³³	flat from-mid to-mid tone	allenbai											flat							to-mid																																						tone	from-mid												
35	³⁵	rising from-mid to-high tone	allenbai											rising							to-high																																						tone	from-mid												
4	⁴	short from-mid-high tone	diachronica											short																																													tone	from-mid-high												
42	⁴²	falling from-mid-high to-mid-low tone	allenbai											falling							to-mid-low																																						tone	from-mid-high												
44	⁴⁴	flat from-mid-high to-mid-high tone	allenbai											flat							to-mid-high																																						tone	from-mid-high												
5	⁵	short from-high tone	diachronica											short																																													tone	from-high												
52	⁵²	falling from-high to-mid-low tone	allenbai											falling							to-mid-low																																						tone	from-high												
55	⁵⁵	flat from-high to-high tone	allenbai											flat							to-high																																						tone	from-high												
<sup>m</sup>b	ⁿb	pre-nasalized voiced bilabial stop consonant	apics																													stop									voiced		bilabial		pre-nasalized														consonant													
<sup>m</sup>p	ⁿp	pre-nasalized voiceless bilabial stop consonant	apics																													stop									voiceless		bilabial		pre-nasalized														consonant													
<sup>m</sup>v	ⁿv	pre-nasalized voiced labio-dental fricative consonant	apics																													fricative									voiced		labio-dental		pre-nasalized														consonant													
<sup>m</sup>w	ⁿw	pre-nasalized voiced labio-velar approximant consonant	apics																													approximant									voiced		labio-velar		pre-nasalized														consonant													
<sup>ŋ</sup>g	ⁿg	pre-nasalized voiced velar stop consonant	apics																													stop									voiced		velar		pre-nasalized														consonant													
<sup>ŋ</sup>k	ⁿk	pre-nasalized voiceless velar stop consonant	apics																													stop									voiceless		velar		pre-nasalized														consonant													
<sup>ŋ</sup>x	ⁿx	pre-nasalized voiceless velar fricative consonant	apics																													fricative									voiceless		velar		pre-nasalized														consonant													
<sup>ɲ</sup>c	ⁿc	pre-nasalized voiceless palatal stop consonant	apics																													stop									voiceless		palatal		pre-nasalized														consonant													
<sup>ɲ</sup>ɟ	ⁿɟ	pre-nasalized voiced palatal stop consonant	apics																													stop									voiced		palatal		pre-nasalized														consonant													
G	ɢ	voiced uvular stop consonant	napa																													stop									voiced		uvular																consonant													
G!	gǃ	voiced alveolar click consonant	ruhlen																													click									voiced		alveolar																consonant													
G!ʰ	gǃʰ	aspirated voiced alveolar click consonant	ruhlen					aspirated																								click									voiced		alveolar																consonant													
G/	gǀ	voiced dental click consonant	ruhlen																													click									voiced		dental																consonant													
G/ʰ	gǀʰ	aspirated voiced dental click consonant	ruhlen					aspirated																								click									voiced		dental																consonant													
Gǁ	gǁ	voiced alveolar lateral click consonant	ruhlen	lateral																												click									voiced		alveolar																consonant													
Gǁʰ	gǁʰ	aspirated voiced alveolar lateral click consonant	ruhlen	lateral				aspirated																								click									voiced		alveolar																consonant													
Gǂ	gǂ	voiced palatal click consonant	ruhlen																													click									voiced		palatal																consonant													
Gǂʰ	gǂʰ	aspirated voiced palatal click consonant	ruhlen					aspirated																								click									voiced		palatal																consonant													
Gʘ	gʘ	voiced labial click consonant	ruhlen																													click									voiced		labial																consonant													
Gʘʰ	gʘʰ	aspirated voiced labial click consonant	ruhlen					aspirated																								click									voiced		labial																consonant													
G̃	ɢ̃	nasalized voiced uvular stop consonant	napa																													stop			nasalized						voiced		uvular																consonant													
K	k	voiceless velar stop consonant	bdproto																													stop									voiceless		velar																consonant													
L	l	voiced alveolar lateral approximant consonant	bdproto	lateral																												approximant									voiced		alveolar																consonant													
L	l̥	devoiced voiced alveolar lateral approximant consonant	napa	lateral																												approximant									voiced		alveolar																consonant												devoiced	
M	m̥	devoiced voiced bilabial nasal consonant	napa																													nasal									voiced		bilabial																consonant												devoiced	
N	n̥	devoiced voiced alveolar nasal consonant	napa																													nasal									voiced		alveolar																consonant												devoiced	
N	n	voiced alveolar nasal consonant	bdproto;jipa;phoible;ruhlen																													nasal									voiced		alveolar																consonant													
N	ɴ	voiced uvular nasal consonant	saphon																													nasal									voiced		uvular																consonant													
N?	n	voiced alveolar nasal consonant	pbase																													nasal									voiced		alveolar																consonant													
Nb	ⁿb	pre-nasalized voiced bilabial stop consonant	jipa																													stop									voiced		bilabial		pre-nasalized														consonant													
Nd	ⁿd	pre-nasalized voiced alveolar stop consonant	jipa																													stop									voiced		alveolar		pre-nasalized														consonant													
Ndz	ⁿdz	pre-nasalized voiced alveolar sibilant affricate consonant	jipa	sibilant																												affricate									voiced		alveolar		pre-nasalized														consonant													
Ndʐ	ⁿɖʐ	pre-nasalized voiced retroflex sibilant affricate consonant	jipa	sibilant																												affricate									voiced		retroflex		pre-nasalized														consonant													
Ndʑ	ⁿdʑ	pre-nasalized voiced alveolo-palatal sibilant affricate consonant	jipa	sibilant																												affricate									voiced		alveolo-palatal		pre-nasalized														consonant													
Nd̪z̪	ⁿdz̪	pre-nasalized voiced dental sibilant affricate consonant	jipa	sibilant																												affricate									voiced		dental		pre-nasalized														consonant													
Nd̻z̻	ⁿdz̻	pre-nasalized voiced laminal alveolar sibilant affricate consonant	jipa	sibilant																										laminal		affricate									voiced		alveolar		pre-nasalized														consonant													
Ng	ⁿg	pre-nasalized voiced velar stop consonant	jipa																													stop									voiced		velar		pre-nasalized														consonant													
Nkʰ	ⁿkʰ	pre-nasalized aspirated voiceless velar stop consonant	jipa					aspirated																								stop									voiceless		velar		pre-nasalized														consonant													
Npʰ	ⁿpʰ	pre-nasalized aspirated voiceless bilabial stop consonant	jipa					aspirated																								stop									voiceless		bilabial		pre-nasalized														consonant													
Ntɕʰ	ⁿtɕʰ	pre-nasalized aspirated voiceless alveolo-palatal sibilant affricate consonant	jipa	sibilant				aspirated																								affricate									voiceless		alveolo-palatal		pre-nasalized														consonant													
Ntʰ	ⁿtʰ	pre-nasalized aspirated voiceless alveolar stop consonant	jipa					aspirated																								stop									voiceless		alveolar		pre-nasalized														consonant													
Nt̪s̪ʰ	ⁿts̪ʰ	pre-nasalized aspirated voiceless dental sibilant affricate consonant	jipa	sibilant				aspirated																								affricate									voiceless		dental		pre-nasalized														consonant													
Nt̻s̻ʰ	ⁿts̻ʰ	pre-nasalized aspirated voiceless laminal alveolar sibilant affricate consonant	jipa	sibilant				aspirated																						laminal		affricate									voiceless		alveolar		pre-nasalized														consonant													
Nɖɽ	ⁿɖʳ	pre-nasalized with-trilled-release voiced retroflex stop consonant	jipa																													stop									voiced		retroflex		pre-nasalized						with-trilled-release								consonant													
Nʈɽʰ	ⁿʈʳʰ	pre-nasalized aspirated with-trilled-release voiceless retroflex stop consonant	jipa					aspirated																								stop									voiceless		retroflex		pre-nasalized						with-trilled-release								consonant													
